feature_name,data_type
admission_id,int64
patient_id,int64
department_id,int64
ward_id,int64
bed_id,int64
disease_id,int64
admission_date,datetime64[us]
discharge_date,datetime64[us]
admission_type,str
admission_status,str
los,int64
bill_id,int64
bill_date,str
total_amount,int64
insurance_covered_amount,float64
patient_payable_amount,float64
payment_status,str
payment_mode,str
gender,str
date_of_birth,datetime64[us]
blood_group,str
city,str
contact_number,str
insurance_flag,float64
age,int32
age_group,category
admission_month,str
admission_quarter,int32
admission_weekday,str
weekend_admission,int64
revenue_per_day,float64
revenue_category,category
long_stay_flag,int64
high_revenue_flag,int64
senior_citizen_flag,int64
los_category,category
patient_payment_ratio,float64
insurance_coverage_ratio,float64
revenue_band,category
admission_season,str
